"","title","grade","time"
"207","라라랜드","10","20.07.08"
"208","독전","3","20.07.08"
"209","짱","1","20.07.08"
"210","82년생 김지영","10","20.07.08"
"211","#살아있다","8","20.07.08"
"212","버킷리스트: 죽기 전에 꼭 하고 싶은 것들","10","20.07.08"
"213","뷰티 인사이드","10","20.07.08"
"214","온워드: 단 하루의 기적","10","20.07.08"
"215","#살아있다","10","20.07.08"
"216","인사이드 아웃","9","20.07.08"
"217","정직한 후보","10","20.07.08"
"218","비긴 어게인","10","20.07.08"
"219","멜리스","1","20.07.08"
"220","소리꾼","10","20.07.08"
"221","야구소녀","8","20.07.08"
"222","언더 워터","10","20.07.08"
"223","변호인","10","20.07.08"
"224","사라진 시간","8","20.07.08"
"225","사라진 시간","8","20.07.08"
"226","주홍글씨","1","20.07.08"
"227","유혹의 선","1","20.07.08"
"228","#살아있다","8","20.07.08"
"229","미스틱 리버","10","20.07.08"
"230","차가운 열대어","1","20.07.08"
"231","콜 오브 와일드","10","20.07.08"
"232","#살아있다","1","20.07.08"
"233","지구를 지켜라!","9","20.07.08"
"234","판소리 복서","9","20.07.08"
"235","아홉 스님","10","20.07.08"
"236","동감","10","20.07.08"
"237","갈증","1","20.07.08"
"238","사라진 시간","10","20.07.08"
"239","피아니스트의 전설","10","20.07.08"
"240","분신사바: 친구의 저주","1","20.07.08"
"241","인베이젼 2020","10","20.07.08"
"242","버드맨","10","20.07.08"
"243","임금님의 사건수첩","10","20.07.08"
"244","사라진 시간","1","20.07.08"
"245","피아니스트","10","20.07.08"
"246","조커","1","20.07.08"
"247","레미제라블","8","20.07.08"
"248","클래식","10","20.07.08"
"249","캠퍼스 S 커플","10","20.07.08"
"250","위대한 쇼맨","10","20.07.08"
"251","트로이","10","20.07.08"
"252","꽃잎","4","20.07.08"
"253","사라진 시간","10","20.07.08"
"254","다크 나이트","10","20.07.08"
"255","작가 미상","7","20.07.08"
"256","환상의 마로나","9","20.07.08"
"257","노트북","10","20.07.08"
"258","소리꾼","2","20.07.08"
"259","토탈 리콜","7","20.07.08"
"260","마이 스파이","7","20.07.08"
"261","#살아있다","10","20.07.08"
"262","스캔들 - 조선남녀상열지사","9","20.07.08"
"263","디 워","4","20.07.08"
"264","클레멘타인","10","20.07.08"
"265","감기","1","20.07.08"
"266","사라진 시간","2","20.07.08"
"267","12번째 솔저","3","20.07.08"
